C,gamma,accuracy,macro_f1,balanced_accuracy,time_seconds
0.01,scale,0.923374827109267,0.9232564133475464,0.9234335438379555,77.42713022232056
0.01,0.0005,0.9228215767634855,0.9226954828917715,0.9228304591356062,74.13092875480652
0.01,0.001,0.9228215767634855,0.9226954828917715,0.9228304591356062,66.62537169456482
0.01,0.005,0.9222683264177041,0.9221447896986156,0.9223005174291938,105.44935870170593
0.01,0.01,0.876625172890733,0.8752975459382466,0.8737772699169758,190.72700333595276
0.01,0.1,0.5219917012448133,0.3429661941112323,0.5,241.59086298942566
0.1,scale,0.9230982019363763,0.9229908045977011,0.9232417159806866,57.88405227661133
0.1,0.0005,0.9230982019363763,0.9229708301371022,0.9230954299888123,51.47725701332092
0.1,0.001,0.9230982019363763,0.9229843364622807,0.9231929539833952,53.25102925300598
0.1,0.005,0.9230982019363763,0.9230001507862954,0.9233148589766237,66.72884488105774
0.1,0.01,0.9228215767634855,0.9227420263047167,0.9231961741152918,108.06556129455566
0.1,0.1,0.47800829875518674,0.32341381246490736,0.5,241.95268368721008
1.0,scale,0.9208852005532503,0.920790493847969,0.9211463301536831,68.85122537612915
1.0,0.0005,0.9208852005532503,0.9207779665141722,0.9210488061591002,52.18859004974365
1.0,0.001,0.9203319502074688,0.9202335011939845,0.9205676264499794,56.797263383865356
1.0,0.005,0.9217150760719225,0.9216198555524373,0.9219656237119473,120.20946717262268
1.0,0.01,0.9228215767634855,0.9227277021170672,0.9230742691220633,206.71915411949158
1.0,0.1,0.5219917012448133,0.3429661941112323,0.5,351.6146078109741
10.0,scale,0.9200553250345781,0.9199282712558715,0.9200832266089619,205.96707153320312
10.0,0.0005,0.9208852005532503,0.9207646579519976,0.9209512821645175,72.8719425201416
10.0,0.001,0.9230982019363763,0.9229843364622807,0.9231929539833952,117.34685134887695
10.0,0.005,0.9206085753803596,0.9205025806461994,0.9207838353058941,279.2074568271637
10.0,0.01,0.9217150760719225,0.921622857967636,0.9219900047105929,235.24905347824097
10.0,0.1,0.5219917012448133,0.3429661941112323,0.5,686.3943719863892
50.0,scale,0.9150760719225449,0.9149135327430771,0.9149236552729201,376.51331329345703
50.0,0.0005,0.9217150760719225,0.9215906600879296,0.9217461947241359,198.68315768241882
50.0,0.001,0.9150760719225449,0.9148878488725452,0.9147773692810457,370.6444892883301
50.0,0.005,0.9208852005532503,0.9207811715581197,0.921073187157746,280.9333460330963
50.0,0.01,0.9217150760719225,0.921622857967636,0.9219900047105929,236.7709743976593
50.0,0.1,0.5219917012448133,0.3429661941112323,0.5,685.467579126358
100.0,scale,0.9150760719225449,0.9149135327430771,0.9149236552729201,378.7915403842926
100.0,0.0005,0.9189488243430152,0.9188052759341979,0.918877057204263,362.9396553039551
100.0,0.001,0.9117565698478561,0.9115563500828039,0.9114270520520521,524.9214458465576
100.0,0.005,0.9208852005532503,0.9207811715581197,0.921073187157746,280.2947084903717
100.0,0.01,0.9217150760719225,0.921622857967636,0.9219900047105929,235.56721782684326
100.0,0.1,0.5219917012448133,0.3429661941112323,0.5,682.8426222801208
